buyer_id,median_gap_days,mean_gap_days,n_gaps,frequency_segment
1739208,1.0,57.333333333333336,3,high_freq
1823988,17.0,17.727272727272727,11,monthly_like
1824775,25.0,44.421052631578945,19,monthly_like
1826380,24.0,136.0,4,monthly_like
1827809,41.0,41.0,1,low_freq
1828006,29.5,33.5,6,monthly_like
1828257,24.0,31.666666666666668,3,monthly_like
1828637,41.0,152.42857142857142,7,low_freq
1828946,15.0,72.57142857142857,14,monthly_like
1830130,0.0,9.333333333333334,3,high_freq
1830839,347.5,347.5,2,rare
1831195,7.0,7.0,2,high_freq
1832643,473.0,473.0,2,rare
1832790,372.0,372.0,1,rare
1833806,7.0,194.2,5,high_freq
1833875,23.0,23.0,2,monthly_like
1834566,19.5,26.9,10,monthly_like
1834839,17.0,33.166666666666664,12,monthly_like
1835561,436.5,436.5,2,rare
1836001,8.0,13.5,4,high_freq
1836234,36.0,36.0,1,low_freq
1836472,168.0,168.0,2,rare
1836918,9.0,16.391304347826086,23,high_freq
1837001,58.0,112.66666666666667,9,low_freq
1838572,16.0,12.0,3,monthly_like
1839349,148.0,148.0,1,rare
1839628,4.0,15.0,3,high_freq
1840604,20.0,198.6,5,monthly_like
1840658,0.0,0.0,1,high_freq
1842398,424.0,424.0,1,rare
1843340,151.0,151.0,1,rare
1843343,0.0,0.0,1,high_freq
1843421,42.0,62.81818181818182,11,low_freq
1844250,465.0,465.0,2,rare
1844460,216.0,216.0,1,rare
1844628,9.0,24.0,6,high_freq
1845978,10.0,17.333333333333332,9,high_freq
1846881,23.0,22.4,5,monthly_like
1848089,202.0,202.0,2,rare
1848240,738.0,738.0,1,rare
1848677,6.0,9.80952380952381,21,high_freq
1850480,29.5,38.75,4,monthly_like
1850901,150.0,150.0,1,rare
1855548,149.5,139.25,4,rare
1855902,35.0,27.4,5,low_freq
1856114,7.0,20.55,20,high_freq
1856216,5.0,5.0,1,high_freq
1856736,12.0,19.0,3,high_freq
1858104,13.5,17.75,12,high_freq
1858115,185.0,185.0,1,rare
1858833,45.0,100.0,10,low_freq
1859847,110.0,110.0,2,rare
1859962,10.0,19.444444444444443,9,high_freq
1860100,35.0,35.0,1,low_freq
1860674,450.5,450.5,2,rare
1861496,37.0,37.0,2,low_freq
1861627,24.0,28.75,4,monthly_like
1861846,219.5,219.5,2,rare
1861953,29.0,29.0,1,monthly_like
1863303,95.5,95.5,2,rare
1864745,174.0,174.0,1,rare
1866849,16.0,22.176470588235293,17,monthly_like
1869350,8.0,13.25,12,high_freq
1869427,20.0,57.90909090909091,11,monthly_like
1869801,35.0,44.8,5,low_freq
1871378,30.0,34.0,4,monthly_like
1871524,175.0,175.0,1,rare
1871716,13.0,22.555555555555557,9,high_freq
1871777,28.5,28.0,4,monthly_like
1871955,17.5,17.5,2,monthly_like
1874863,0.0,0.0,1,high_freq
1875067,17.0,28.842105263157894,19,monthly_like
1876918,15.0,15.0,1,monthly_like
1877338,6.0,8.823529411764707,17,high_freq
1878177,14.0,14.0,1,high_freq
1878760,171.0,171.0,1,rare
1878938,3.0,20.22222222222222,9,high_freq
1879755,210.0,210.0,1,rare
1880016,2.0,3.210526315789474,19,high_freq
1880263,22.0,22.0,1,monthly_like
1880386,15.0,33.125,8,monthly_like
1881178,9.5,9.5,2,high_freq
1881547,23.5,253.75,4,monthly_like
1881999,14.0,14.0,1,high_freq
1882102,58.0,292.3333333333333,3,low_freq
1882658,202.0,179.66666666666666,3,rare
1884865,43.0,43.0,2,low_freq
1885051,31.0,34.166666666666664,6,low_freq
1885728,20.0,74.6923076923077,13,monthly_like
1886117,6.5,22.0,20,high_freq
1886445,19.0,14.666666666666666,3,monthly_like
1886668,0.0,0.0,1,high_freq
1887319,0.0,0.0,1,high_freq
1887664,0.0,0.0,1,high_freq
1887788,5.0,41.0,3,high_freq
1888610,65.0,198.0,4,rare
1888942,21.0,73.77777777777777,9,monthly_like
1891180,11.0,11.0,2,high_freq
1891484,52.5,261.25,4,low_freq
1892246,13.0,92.36363636363636,11,high_freq
1892249,11.0,11.0,2,high_freq
1892478,53.0,53.0,1,low_freq
1894188,226.5,226.5,2,rare
1895924,6.0,7.913043478260869,23,high_freq
1897024,47.0,118.375,8,low_freq
1897437,4.5,4.5,2,high_freq
1897460,42.0,42.0,1,low_freq
1898492,6.0,74.45454545454545,11,high_freq
1898849,10.0,10.0,1,high_freq
1898867,240.5,240.5,2,rare
1898933,8.0,191.8,5,high_freq
1899138,27.0,37.333333333333336,3,monthly_like
1901303,68.0,68.0,1,rare
1903155,10.0,21.857142857142858,7,high_freq
1903197,18.5,95.7,10,monthly_like
1903625,18.0,16.0,3,monthly_like
1906079,71.0,71.0,1,rare
1907011,54.0,64.0,3,low_freq
1907563,10.0,26.526315789473685,19,high_freq
1907629,23.0,23.0,2,monthly_like
1907910,33.0,33.0,1,low_freq
1908384,393.0,393.0,2,rare
1908459,195.5,195.5,2,rare
1911097,37.0,47.6,5,low_freq
1912664,0.0,0.0,1,high_freq
1912775,1.0,1.0,1,high_freq
1914769,14.0,14.0,1,high_freq
1915618,14.0,42.125,8,high_freq
1915649,30.0,32.25,4,monthly_like
1915841,74.0,105.0,9,rare
1916593,14.5,13.375,8,monthly_like
1916666,47.0,38.4,5,low_freq
1920430,13.0,26.81578947368421,38,high_freq
1922568,78.0,78.0,1,rare
1923911,6.0,27.818181818181817,11,high_freq
1924734,3.0,3.0,1,high_freq
1926316,0.0,0.0,1,high_freq
1926333,41.0,68.0,3,low_freq
1926692,0.0,0.0,1,high_freq
1928781,13.5,13.5,2,high_freq
1929635,31.0,31.0,1,low_freq
1930727,0.0,0.0,1,high_freq
1930847,0.0,0.0,1,high_freq
1931226,13.0,16.2,5,high_freq
1931239,429.0,320.6666666666667,3,rare
1932183,7.0,12.846153846153847,13,high_freq
1932229,12.0,21.1,10,high_freq
1934329,3.0,17.4,5,high_freq
1936713,109.5,115.5,4,rare
1937198,84.0,89.2,5,rare
1938297,303.5,303.5,2,rare
1938731,5.5,8.666666666666666,6,high_freq
1939405,0.0,0.0,1,high_freq
1939615,14.0,45.55555555555556,9,high_freq
1939859,33.0,58.666666666666664,3,low_freq
1940351,64.0,64.0,1,rare
1940391,20.0,37.666666666666664,3,monthly_like
1941044,120.0,99.0,7,rare
1941439,118.0,118.0,2,rare
1941975,6.0,15.428571428571429,7,high_freq
1942237,83.0,83.0,2,rare
1943801,92.0,92.0,1,rare
1943968,172.0,145.66666666666666,3,rare
1944134,5.0,12.11111111111111,9,high_freq
2045302,31.0,43.666666666666664,3,low_freq
2045469,46.0,46.0,2,low_freq
2046486,14.0,27.0,5,high_freq
2047344,15.0,15.0,2,monthly_like
2048798,58.0,58.0,1,low_freq
2048804,5.0,6.268656716417911,67,high_freq
2048823,78.5,78.5,2,rare
2049073,3.5,13.833333333333334,12,high_freq
2049426,15.0,24.333333333333332,3,monthly_like
2049508,10.5,10.5,2,high_freq
2050796,27.0,27.0,1,monthly_like
2051830,104.0,178.33333333333334,3,rare
2052402,0.0,0.0,1,high_freq
2053478,199.5,199.5,2,rare
2053658,46.0,73.25,4,low_freq
2054676,31.0,31.0,1,low_freq
2054958,34.0,21.142857142857142,7,low_freq
2055245,51.0,78.25,12,low_freq
2056019,502.5,502.5,2,rare
2056221,91.0,96.57142857142857,7,rare
2057599,81.0,65.66666666666667,3,rare
2058086,7.0,20.23076923076923,13,high_freq
2058190,42.0,36.54545454545455,11,low_freq
2059148,11.0,24.5,6,high_freq
2059307,30.0,30.0,1,monthly_like
2059794,3.0,22.142857142857142,14,high_freq
2060103,9.5,9.5,4,high_freq
2064338,0.0,0.0,1,high_freq
2087856,53.0,44.333333333333336,3,low_freq
2173368,9.0,129.71428571428572,7,high_freq
2174232,199.0,199.0,2,rare
2174728,1.0,1.5,4,high_freq
2175654,3.0,3.0,1,high_freq
2176325,110.5,110.5,2,rare
2177232,561.0,561.0,1,rare
2177337,65.0,65.0,1,rare
2179319,6.0,5.911764705882353,68,high_freq
2179433,41.0,31.0,5,low_freq
2179474,0.0,0.0,1,high_freq
2180083,13.0,13.0,1,high_freq
2180781,35.0,137.6,5,low_freq
2181815,13.5,12.333333333333334,6,high_freq
2182757,7.0,230.75,4,high_freq
2183197,0.0,4.0,3,high_freq
2184031,37.0,37.0,1,low_freq
2184037,36.0,50.6,5,low_freq
2184108,44.5,103.0,4,low_freq
2185035,33.5,50.25,4,low_freq
2185312,10.0,13.1875,16,high_freq
2185659,28.5,40.3,10,monthly_like
2186656,251.0,251.0,1,rare
2186892,8.0,8.0,1,high_freq
2187362,825.0,825.0,1,rare
2187794,6.5,16.25,8,high_freq
2188684,0.0,4.666666666666667,3,high_freq
2189265,11.0,59.705882352941174,17,high_freq
2191186,12.5,12.5,2,high_freq
2191234,16.0,21.5,8,monthly_like
2191365,684.0,684.0,1,rare
2191844,0.0,0.0,1,high_freq
2193546,34.0,47.666666666666664,3,low_freq
2195411,27.0,25.0,3,monthly_like
2196150,18.0,18.0,2,monthly_like
2196333,428.5,428.5,2,rare
2196786,118.0,135.8,5,rare
2196935,76.5,76.5,2,rare
2199866,21.0,21.0,1,monthly_like
2200315,5.0,5.0,1,high_freq
2201046,15.0,20.0,7,monthly_like
2201047,26.5,26.5,2,monthly_like
2202042,12.0,127.85714285714286,7,high_freq
2203145,347.0,347.0,1,rare
2203868,0.0,0.0,1,high_freq
2204753,189.0,187.66666666666666,3,rare
2205150,9.0,73.14285714285714,7,high_freq
2205238,43.0,147.33333333333334,3,low_freq
2205608,24.0,24.0,2,monthly_like
2383222,25.0,48.4,5,monthly_like
2384794,6.0,10.793103448275861,29,high_freq
2386733,29.0,55.0,3,monthly_like
2386832,855.0,855.0,1,rare
2387580,16.0,78.4,5,monthly_like
2389144,294.0,294.0,1,rare
2389384,55.0,55.0,1,low_freq
2390153,118.5,118.5,2,rare
2513270,1034.0,1034.0,1,rare
2513662,97.5,151.33333333333334,6,rare
2516967,31.0,31.0,1,low_freq
2517101,6.0,9.736842105263158,19,high_freq
2519101,6.0,8.428571428571429,7,high_freq
2519196,64.0,64.0,1,rare
2519516,22.0,114.44444444444444,9,monthly_like
2520252,88.0,273.3333333333333,3,rare
2521463,4.0,4.0,1,high_freq
2521743,196.0,196.0,2,rare
2522055,30.0,67.2,5,monthly_like
2522093,8.0,138.14285714285714,7,high_freq
